codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental
16-01-0138-46,16-031,Alta Verapaz,Coban,Colegio Coban,Km.2 Salida A San Juan Chamelco Zona 8, 7794-5104,Patricio Najarro Asencio,Gustavo Adolfo Sierra Pop,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-0139-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Verapaz,Km 209.5 Entrada A La Ciudad, 7736-7402,Patricio Najarro Asencio,Gilma Dolores Guay Paz De Leal,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-0140-46,16-031,Alta Verapaz,Coban,"Colegio ""La Inmaculada""",7A. Avenida 11-109 Zona 6, 7823-2301,Patricio Najarro Asencio,Virginia Solano Serrano,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-0141-46,16-005,Alta Verapaz,Coban,Escuela Nacional De Ciencias Comerciales,2A Calle 11-10 Zona 2, 7951-4215,Nora Liliana Figueroa Hernández,Héctor Rolando Chun Poou,Diversificado,Oficial,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-0142-46,16-005,Alta Verapaz,Coban,Instituto Normal Mixto Del Norte 'Emilio Rosales Ponce',3A Ave 6-23 Zona 11, 7952-1468,Nora Liliana Figueroa Hernández,Victor Hugo Domínguez Reyes,Diversificado,Oficial,Urbana,Abierta,Bilingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0143-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Imperial,5A. Calle 1-9 Zona 3, 5710-1061,Patricio Najarro Asencio,Mynor Gustavo Ipiña España,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Alta Verapaz
16-01-0155-46,16-031,Alta Verapaz,Coban,"Liceo ""Moderno Latino""",11 Avenida 5-17 Zona 4, 7952-2555,Patricio Najarro Asencio,Héctor Armando Teyul Chen,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Alta Verapaz
16-01-0428-46,16-005,Alta Verapaz,Coban,Instituto Nacional De Educacion Diversificada,"Diagonal 08 8-05 Zona 8, Barrio Cantón Las Casas", 7793-0045,Nora Liliana Figueroa Hernández,Helson Marco Chén Gutierrez,Diversificado,Oficial,Rural,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0471-46,16-031,Alta Verapaz,Coban,"Colegio De Informatica ""Ceninfav""",12 Av. 2-12 Zona 1, 7954-5566,Patricio Najarro Asencio,Maria Magdalena Bol Cu,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0481-46,16-031,Alta Verapaz,Coban,Liceo Americano Del Norte,5Ta. Calle 2-23 Zona 4, 7951-4754,Patricio Najarro Asencio,José Cupertino Reyes Garcia,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-0483-46,16-031,Alta Verapaz,Coban,Liceo Americano Del Norte,5Ta. Calle 2-23 Zona 4, 7951-4754,Patricio Najarro Asencio,José Cupertino Reyes Garcia,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Alta Verapaz
16-01-0558-46,16-005,Alta Verapaz,Coban,"Instituto Normal Preprimaria Bilingue Adscrito Al Instituto Normal Mixto Del Norte ""Emilio Rosales Ponce""",3A. Ave. 6-23 Zona 11, 7952-1468,Nora Liliana Figueroa Hernández,Victor Hugo Domínguez Reyes,Diversificado,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0559-46,16-005,Alta Verapaz,Coban,Instituto Normal Primaria Bilingue Intercultural Ads. Al Instituto Emilio Rosales Ponce,3A. Ave. 6-23 Zona 11, 7952-1468,Nora Liliana Figueroa Hernández,Victor Hugo Domínguez Reyes,Diversificado,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0563-46,16-031,Alta Verapaz,Coban,Centro De Formacion Integral Las Conchas Fmg,Aldea Las Conchas, 7952-2793,Patricio Najarro Asencio,David Waldemar Urrutia Choc,Diversificado,Privado,Rural,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0565-46,16-031,Alta Verapaz,Coban,"Instituto Mixto Privado ""Salud Y Desarrollo""",Diagnonal 1 1-26 Zona 1, 5192-2050,Patricio Najarro Asencio,Samantha Gabriela De La Cruz Morales,Diversificado,Privado,Urbana,Abierta,Monolingue,Doble,Fin De Semana,Alta Verapaz
16-01-0568-46,16-031,Alta Verapaz,Coban,Instituto Privado Raul Chenal Heinemann,5A. Calle 1-06 Zona 3, 7951-0413,Patricio Najarro Asencio,Silvia Beatriz Soto Chén,Diversificado,Privado,Urbana,Abierta,Monolingue,Nocturna,Diario(Regular),Alta Verapaz
16-01-0572-46,16-031,Alta Verapaz,Coban,Liceo Miguel Angel Asturias,7A. Calle 1-13 Zona 3, 7951-1103,Patricio Najarro Asencio,Jayron Ariel Coy Cacao,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-0573-46,16-031,Alta Verapaz,Coban,Colegio Cristiano Bilingue Verbo,4A. Calle A 4-32 Zona 8, 7794-5181,Patricio Najarro Asencio,Lesly Eugenia Chocooj Vidaurre,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-0574-46,16-005,Alta Verapaz,Coban,Escuela Nacional De Ciencias Comerciales,2A. Calle 11-10 Zona 2, 5353-0198,Nora Liliana Figueroa Hernández,Héctor Rolando Chun Poou,Diversificado,Oficial,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0583-46,16-031,Alta Verapaz,Coban,Colegio Nuevos Senderos,"3A. Calle 3-74, Zona 3", 7941-7300,Patricio Najarro Asencio,Zoyla Argentina Mollinedo Alvarado,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-0604-46,16-031,Alta Verapaz,Coban,Instituto Privado Raul Chenal Heinemann,"5A. Calle 1-06, Zona 3", 7951-0413,Patricio Najarro Asencio,Silvia Beatriz Soto Chén,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
16-01-0609-46,16-031,Alta Verapaz,Coban,Instituto Mixto De Educacion Bilingue Intercultural -Imebi-,Lotificacion Chivencorral, 3036-7501,Patricio Najarro Asencio,Juan Pascual Lucas Antonio,Diversificado,Privado,Urbana,Abierta,Monolingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0612-46,16-031,Alta Verapaz,Coban,Instituto De Magisterio De Educacion Preprimaria Infantil Bilingue Intercultural Luz Del Saber,"Calzada Rabin Ajau, Zona 1", 5756-5646,Patricio Najarro Asencio,Thelma Martina Pop Tzir,Diversificado,Privado,Rural,Abierta,Bilingue,Vespertina,Diario(Regular),Alta Verapaz
16-01-0613-46,16-031,Alta Verapaz,Coban,"Colegio Particular Mixto ""Anton De Montesinos""",1A. Calle 7-22 Zona 3, 7725-9205,Patricio Najarro Asencio,Margarita Villalobos Ligorría,Diversificado,Privado,Urbana,Abierta,Monolingue,Matutina,Diario(Regular),Alta Verapaz
